id,name,category,link,location
74,Jen Berryman,Birth photography,https://www.facebook.com/jennifer.berryman?hc_location=ufi,Portland
75,Red Letter Days,Birth photography,,Portland
76,Renal Lee Photography,Birth photography,,Portland
77,For the Love of Hazel Photography,Birth photography,https://www.facebook.com/fortheloveofHazel/?hc_location=ufi,Portland
78,Joanie Johnson,Birth photography,https://www.facebook.com/joanie.johnson1?hc_location=ufi,Portland
79,Altheia McCallum,Birth photography,https://www.facebook.com/altheia.mccallum?hc_location=ufi,Portland
80,Natalie Broders,Birth photography,https://www.facebook.com/nataliepants?hc_location=ufi,Portland
81,Willow Creek Studios,Birth photography,,Portland
82,Heidi Renee,Birth photography,https://www.facebook.com/heidireneetimmons?hc_location=ufi,Portland
83,Natalie Broders,Birth photography,https://www.nataliebroders.com/?fbclid=IwAR0ZuslsVYdY9HIxosol5Vs9mwxVwRgQwjCIjidHPFciN2MHIyowMsl4bQU,Portland
84,Laura LJ Alcantara,Birth photography,https://www.facebook.com/laura.l.alcantara?hc_location=ufi,Portland
85,Colette Port Hoekstra,Birth photography,https://www.facebook.com/colettei?hc_location=ufi,Portland
86,Jennifer Diane Photography,Birth photography,https://www.facebook.com/JenniferDianePhotography/,Portland
87,Donna Leathers,Birth photography,https://www.facebook.com/donna.leathers?hc_location=ufi,Portland
88,Munson Gifts and Apparel,Custom gifts and apparel,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2Fmgapdx%3Ffbclid%3DIwAR2t_eBFKXPvuFEHhLHP2jh7s0LXrkvyS_uKHmU073ImffYTaqgEM4WQ-EU&h=AT3QaIn9FBhxuN6W4teStzdfuLkEIFRmQuuBbTOOkbLURFm1GvUGE0KDUR69dXQrdGOepaHAC2Jr-kOe6n0s2m9jVF5M4VSDk9Tk-BypObRAvP6hvDUoHjt-96m1etciVWbwXsE,Portland
89,Creations & More,Custom gifts and apparel,https://www.facebook.com/Creations-more-by-Jaclynn-Kathlene-422537454986594/,Portland
90,Mom Crush Customs,Custom gifts and apparel,https://www.facebook.com/MomCrushCustoms/,Portland
91,Elizabeth Joly,Custom children's clothes,https://www.facebook.com/ejrebelgirl?hc_location=ufi,Portland
92,Catiebug's Creations,Custom children's clothes,https://www.facebook.com/Catiebugs-Creations-1397676883780370/,Portland
93,Hello Wild Baby Co,Custom children's clothes,https://www.facebook.com/hellowildbabyco/?hc_location=ufi,Portland
94,Sew Let's Begin,Custom children's clothes,https://www.facebook.com/SewLetsBegin/?hc_location=ufi,Portland
95,Beverly Silver Oved,Custom children's clothes,https://www.facebook.com/bsilveroved?hc_location=ufi,Portland
96,Marilyn Shawe,Custom children's clothes,https://www.facebook.com/marilyn.quintero.10?hc_location=ufi,Portland
97,Geneivievs Boutique,Custom children's clothes,https://www.facebook.com/GenevievsBoutique/,Portland
98,Sit Still Kid's Salon,children's haircuts,https://www.facebook.com/Sit-Still-Kids-Salon-2424094990954815/,Portland
99,"Clever Cuts by Erika (travels to your home, children and special needs)",children's haircuts,https://www.facebook.com/clevercutsbyerika/,Portland
100,Super Nature Adventures,creative nature exploration packets for kids,https://www.facebook.com/supernatureadventures/?ref=gs&__tn__=%2CdK-R-R&eid=ARBgmTk241Bf8DC4zIt2Mi2tL6Xc8jsPbSxl3cUuLBcGFT6-8iFks0Cbg1e9yfjQWX31_ojUk3qfdzfA&fref=gs&dti=1006364462756083&hc_location=group,Portland
101,stopped at June 8 ,,,Portland
102,,counseling,https://www.facebook.com/groups/themobnw/search/?query=counseling&epa=SEARCH_BOX,Portland
103,Mindful Papa / Doula Love,counseling for new dads,http://www.portlanddoulalove.com/mindful-papa/,Portland
